ID	Dist.(miles)	Alt(ft)	Time
AE2F9E/RAIDR08 	1.7	16725	2022-01-12 21:46:02.800000
AAE8BA/N80156  	2.4	425	2022-01-12 21:46:38.800000
ABC504/SWA5482 	0.6	26600	2022-01-12 21:47:14.800000
A34DE4/N3117Q  	1.7	8475	2022-01-12 21:48:32.800000
ABD204/SWA2391 	0.6	28075	2022-01-12 21:48:32.800000
A81F58/N622TD  	2.2	1025	2022-01-12 21:50:36.800000
AAE8BA/N80156  	1.3	425	2022-01-12 21:52:49.800000
A14B74	2.2	400	2022-01-12 21:53:29.800000
A70C67/AAL1925 	0.6	18175	2022-01-12 21:55:59.800000
A6CA2F/N5368H  	1.2	1300	2022-01-12 21:57:28.800000
AAE8BA/N80156  	2.4	400	2022-01-12 21:57:36.800000
A694C4/N523HB  	0.9	1100	2022-01-12 21:59:10.800000
A64200/N502GM  	0.4	16775	2022-01-12 21:59:49.800000
AC2380/N881W   	0.0	1900	2022-01-12 22:00:19.800000
A89155/N651KC  	1.9	700	2022-01-12 22:01:19.800000
AA56D4/UAL1097 	1.2	25675	2022-01-12 22:03:18.800000
ABC49B/SWA3413 	0.3	24300	2022-01-12 22:04:10.800000
A694C4/N523HB  	2.2	850	2022-01-12 22:04:26.800000
A89155/N651KC  	2.2	600	2022-01-12 22:05:24.800000
A19C93/N20252  	1.8	3300	2022-01-12 22:08:43.800000
AC8AC8/N907SL  	0.8	1600	2022-01-12 22:09:05.800000
A74C35/N57BM   	1.2	1000	2022-01-12 22:09:32.800000
A9D6E0/N733HA  	0.6	1275	2022-01-12 22:11:31.800000
A89155/N651KC  	1.3	800	2022-01-12 22:12:01.800000
A89155/N651KC  	2.2	700	2022-01-12 22:16:31.800000
A67018/N5138V  	2.3	900	2022-01-12 22:18:09.800000
A511F6/AAL2532 	0.6	19400	2022-01-12 22:19:56.800000
A64E2A/SKW6245 	0.6	22600	2022-01-12 22:22:22.800000
A2DB21/SWA3400 	0.5	19875	2022-01-12 22:23:34.800000
A9AB07/AAL2286 	0.6	25900	2022-01-12 22:24:48.800000
