|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
| A14D65  | N183SD  |  0550 |  2.3 |  -1.8 |    adsb_icao |   A7 |   6.2 | 20809 |  33.666321 |-117.854434 |Sat Jan 29 22:07:59 2022 |
| A4190F  | N363SP  |  3400 |  4.9 |  -5.6 |    adsr_icao |   A1 |   0.3 |  1283 |  33.690180 |-117.788258 |Sat Jan 29 22:07:59 2022 |
| AC8AC8  | N907SL  |  1900 |  7.0 |  -2.3 |    adsb_icao |   A1 |   0.2 |  7200 |  33.665415 |-117.726517 |Sat Jan 29 22:07:59 2022 |
| A97675  | SKW3157 |  6875 |  7.9 |  -3.9 |    adsb_icao |   A2 |   0.5 |  4883 |  33.612764 |-117.976742 |Sat Jan 29 22:08:00 2022 |
| A93AE7  | N694PR  |  2200 |  7.5 | -24.6 |    adsr_icao |   A1 |   0.1 |   859 |  33.623749 |-117.972761 |Sat Jan 29 22:08:00 2022 |
| ACAE7C  | N916RR  |  2125 |  7.6 |  -4.3 |    adsb_icao |   A1 |   0.5 | 42980 |  33.664344 |-117.970161 |Sat Jan 29 22:08:00 2022 |
| A83988  | ASA810  |  0125 |  4.0 |  -1.6 |    adsb_icao |   A3 |   1.0 |  8982 |  33.691205 |-117.858982 |Sat Jan 29 22:08:00 2022 |
| A53BC6  | N4360F  |  5225 |  7.1 |  -2.8 |    adsb_icao |   A1 |   0.0 |  3019 |  33.533295 |-117.856604 |Sat Jan 29 22:08:00 2022 |
| A14D65  | N183SD  |  0550 |  2.3 |  -1.7 |    adsb_icao |   A7 |   0.7 | 20810 |  33.666321 |-117.854434 |Sat Jan 29 22:08:00 2022 |
| A4190F  | N363SP  |  3400 |  4.9 |  -4.5 |    adsr_icao |   A1 |   0.4 |  1288 |  33.690506 |-117.787971 |Sat Jan 29 22:08:00 2022 |
| AC8AC8  | N907SL  |  2000 |  7.0 |  -2.4 |    adsb_icao |   A1 |   0.2 |  7207 |  33.665461 |-117.726173 |Sat Jan 29 22:08:00 2022 |
| A97675  | SKW3157 |  6875 |  7.9 |  -1.8 |    adsb_icao |   A2 |   0.1 |  4912 |  33.615601 |-117.978086 |Sat Jan 29 22:08:02 2022 |
| A93AE7  | N694PR  |  2200 |  7.6 | -24.9 |    adsr_icao |   A1 |   0.1 |   865 |  33.624344 |-117.974274 |Sat Jan 29 22:08:02 2022 |
